Change Physical Footprint: Designator=C1 Old Footprint=FP-FKF-MFG New Footprint=FP-FKF-MFG
Change Physical Footprint: Designator=C2 Old Footprint=CAPC1608X90X35ML10T15 New Footprint=CAPC1608X90X35ML10T15
Change Physical Footprint: Designator=C3 Old Footprint=FP-OS-CON-SMT-F12-MFG New Footprint=FP-OS-CON-SMT-F12-MFG
Change Physical Footprint: Designator=C4 Old Footprint=FP-C0805C-DN-MFG New Footprint=FP-C0805C-DN-MFG
Change Physical Footprint: Designator=C5 Old Footprint=FP-C0805C-DN-MFG New Footprint=FP-C0805C-DN-MFG
Change Physical Footprint: Designator=C6 Old Footprint=FP-C0805C-DN-MFG New Footprint=FP-C0805C-DN-MFG
Change Physical Footprint: Designator=C7 Old Footprint=FP-CC0805-0_1-0_7-IPC_A New Footprint=FP-CC0805-0_1-0_7-IPC_A
Change Physical Footprint: Designator=C8 Old Footprint=FP-CC0805-0_1-0_7-IPC_A New Footprint=FP-CC0805-0_1-0_7-IPC_A
Change Physical Footprint: Designator=C9 Old Footprint=FP-FKF-MFG New Footprint=FP-FKF-MFG
Change Physical Footprint: Designator=C10 Old Footprint=FP-C0805C-DN-MFG New Footprint=FP-C0805C-DN-MFG
Change Physical Footprint: Designator=D1 Old Footprint=FP-425AD-MFG New Footprint=FP-425AD-MFG
Change Physical Footprint: Designator=D2 Old Footprint=FP-SML-210-MFG New Footprint=FP-SML-210-MFG
Change Physical Footprint: Designator=J1 Old Footprint=68613014422 New Footprint=68613014422
Change Physical Footprint: Designator=J2 Old Footprint=ATM134PBM02 New Footprint=ATM134PBM02
Change Physical Footprint: Designator=J3 Old Footprint=FP-90120-0763-MFG New Footprint=FP-90120-0763-MFG
Change Physical Footprint: Designator=P1 Old Footprint=SMTC-TSW-103-07-G-D_V New Footprint=SMTC-TSW-103-07-G-D_V
Change Physical Footprint: Designator=R1 Old Footprint=RESC2013X60X40NL20T25 New Footprint=RESC2013X60X40NL20T25
Change Physical Footprint: Designator=R2 Old Footprint=RESC2013X60X35NL10T20 New Footprint=RESC2013X60X35NL10T20
Change Physical Footprint: Designator=R3 Old Footprint=RESC2013X50X30NL20T20 New Footprint=RESC2013X50X30NL20T20
Change Physical Footprint: Designator=R4 Old Footprint=RESC2013X60X40ML20T25 New Footprint=RESC2013X60X40ML20T25
Change Physical Footprint: Designator=R5 Old Footprint=RESC2013X50X30NL20T20 New Footprint=RESC2013X50X30NL20T20
Change Physical Footprint: Designator=R6 Old Footprint=RESC2013X60X35ML10T20 New Footprint=RESC2013X60X35ML10T20
Change Physical Footprint: Designator=REV1 Old Footprint=REV_REVISION_CARTRIDGE_MINI New Footprint=REV_REVISION_CARTRIDGE_MINI
Change Physical Footprint: Designator=SER1 Old Footprint=SER_SERIAL_CARTRIDGE_MICRO New Footprint=SER_SERIAL_CARTRIDGE_MICRO
Change Physical Footprint: Designator=U1 Old Footprint=FP-SOT96-1-IPC_A New Footprint=FP-SOT96-1-IPC_A
Change Physical Footprint: Designator=U2 Old Footprint=SOIC-SO18_M New Footprint=SOIC-SO18_M
Change Physical Footprint: Designator=U3 Old Footprint=D0008A_N New Footprint=D0008A_N
Change Physical Footprint: Designator=Y1 Old Footprint=FOX-HC49SDLF_V New Footprint=FOX-HC49SDLF_V
